age,gender,year,gam_qx
18,Female,1,0.00016237
19,Female,1,0.00017739
20,Female,1,0.00019274
21,Female,1,0.00020799
22,Female,1,0.00022263
23,Female,1,0.00023626
24,Female,1,0.00024923
25,Female,1,0.0002622
26,Female,1,0.00027598
27,Female,1,0.00029158
28,Female,1,0.00031014
29,Female,1,0.00033311
30,Female,1,0.0003624
31,Female,1,0.00040029
32,Female,1,0.00044934
33,Female,1,0.00051302
34,Female,1,0.00059617
35,Female,1,0.00070389
36,Female,1,0.00083861
37,Female,1,0.00100065
38,Female,1,0.00118691
39,Female,1,0.00138891
40,Female,1,0.00159102
41,Female,1,0.00177027
42,Female,1,0.00189865
43,Female,1,0.00196056
44,Female,1,0.00196552
45,Female,1,0.00193061
46,Female,1,0.00187494
47,Female,1,0.00181666
48,Female,1,0.00177185
49,Female,1,0.00175514
50,Female,1,0.00178136
51,Female,1,0.00186347
52,Female,1,0.00201495
53,Female,1,0.0022581
54,Female,1,0.00262829
55,Female,1,0.00314802
56,Female,1,0.00380414
57,Female,1,0.00454569
58,Female,1,0.00526932
59,Female,1,0.00589708
60,Female,1,0.00641347
61,Female,1,0.00682487
62,Female,1,0.00715706
63,Female,1,0.00747684
64,Female,1,0.00788572
65,Female,1,0.00850964
66,Female,1,0.00950448
67,Female,1,0.01091246
68,Female,1,0.01265663
69,Female,1,0.01457205
70,Female,1,0.01640077
71,Female,1,0.01806967
72,Female,1,0.01967611
73,Female,1,0.02137908
74,Female,1,0.02338344
75,Female,1,0.02583913
76,Female,1,0.02888917
77,Female,1,0.03272585
78,Female,1,0.03753972
79,Female,1,0.04310556
80,Female,1,0.04880326
81,Female,1,0.05368159
82,Female,1,0.05679081
83,Female,1,0.05841158
84,Female,1,0.05939965
85,Female,1,0.06072576
18,Female,2,5.2e-06
19,Female,2,7.76e-06
20,Female,2,1.155e-05
21,Female,2,1.719e-05
22,Female,2,2.553e-05
23,Female,2,3.784e-05
24,Female,2,5.581e-05
25,Female,2,8.174e-05
26,Female,2,0.00011861
27,Female,2,0.00016998
28,Female,2,0.00023934
29,Female,2,0.00032932
30,Female,2,0.0004404
31,Female,2,0.00057044
32,Female,2,0.00071679
33,Female,2,0.00087576
34,Female,2,0.00104275
35,Female,2,0.00121321
36,Female,2,0.00138405
37,Female,2,0.00155367
38,Female,2,0.00172223
39,Female,2,0.00189062
40,Female,2,0.0020591
41,Female,2,0.00222869
42,Female,2,0.00240125
43,Female,2,0.00257476
44,Female,2,0.00273923
45,Female,2,0.00288206
46,Female,2,0.00298961
47,Female,2,0.00306514
48,Female,2,0.00313587
49,Female,2,0.00323354
50,Female,2,0.00339341
51,Female,2,0.00363402
52,Female,2,0.00395163
53,Female,2,0.00433993
54,Female,2,0.00478851
55,Female,2,0.00528282
56,Female,2,0.00580276
57,Female,2,0.00631942
58,Female,2,0.00679711
59,Female,2,0.0072337
60,Female,2,0.00766507
61,Female,2,0.00813895
62,Female,2,0.0087112
63,Female,2,0.00939583
64,Female,2,0.01016768
65,Female,2,0.01098983
66,Female,2,0.01181838
67,Female,2,0.01267203
68,Female,2,0.01362342
69,Female,2,0.01476782
70,Female,2,0.01621666
71,Female,2,0.01798517
72,Female,2,0.02000951
73,Female,2,0.02218175
74,Female,2,0.02437816
75,Female,2,0.02672844
76,Female,2,0.02955667
77,Female,2,0.03332215
78,Female,2,0.03858066
79,Female,2,0.0453467
80,Female,2,0.05314686
81,Female,2,0.06103802
82,Female,2,0.06778321
83,Female,2,0.0730449
84,Female,2,0.07702085
85,Female,2,0.08010943
18,Female,3,0.00054848
19,Female,3,0.00064093
20,Female,3,0.00073965
21,Female,3,0.00083803
22,Female,3,0.00092676
23,Female,3,0.00099454
24,Female,3,0.00102991
25,Female,3,0.00102352
26,Female,3,0.00097074
27,Female,3,0.00087849
28,Female,3,0.00077003
29,Female,3,0.00066538
30,Female,3,0.0005769
31,Female,3,0.00050981
32,Female,3,0.00046433
33,Female,3,0.00044044
34,Female,3,0.00043965
35,Female,3,0.00046408
36,Female,3,0.00051479
37,Female,3,0.00059549
38,Female,3,0.00071289
39,Female,3,0.00087704
40,Female,3,0.00110228
41,Female,3,0.00140704
42,Female,3,0.00181354
43,Female,3,0.00234642
44,Female,3,0.00302949
45,Female,3,0.00388015
46,Female,3,0.00490066
47,Female,3,0.00605476
48,Female,3,0.00724038
49,Female,3,0.00829064
50,Female,3,0.0089974
51,Female,3,0.00926092
52,Female,3,0.00915436
53,Female,3,0.00880445
54,Female,3,0.00834712
55,Female,3,0.00790372
56,Female,3,0.00757404
57,Female,3,0.00744339
58,Female,3,0.00759599
59,Female,3,0.00805587
60,Female,3,0.00880367
61,Female,3,0.00982729
62,Female,3,0.011103
63,Female,3,0.01251639
64,Female,3,0.01383119
65,Female,3,0.01471987
66,Female,3,0.01486631
67,Female,3,0.01445491
68,Female,3,0.01396215
69,Female,3,0.01382723
70,Female,3,0.01444521
71,Female,3,0.01595693
72,Female,3,0.01844216
73,Female,3,0.02206139
74,Female,3,0.02700699
75,Female,3,0.03332805
76,Female,3,0.04078801
77,Female,3,0.04872331
78,Female,3,0.0560997
79,Female,3,0.06247519
80,Female,3,0.06789241
81,Female,3,0.07261754
82,Female,3,0.07715154
83,Female,3,0.08244435
84,Female,3,0.08979297
85,Female,3,0.10094784
18,Female,4,0.00011664
19,Female,4,0.00014333
20,Female,4,0.00017463
21,Female,4,0.00020982
22,Female,4,0.00024724
23,Female,4,0.00028462
24,Female,4,0.0003207
25,Female,4,0.00035472
26,Female,4,0.0003863
27,Female,4,0.00041636
28,Female,4,0.00044933
29,Female,4,0.00049174
30,Female,4,0.00055271
31,Female,4,0.00064307
32,Female,4,0.00077154
33,Female,4,0.00094938
34,Female,4,0.00119151
35,Female,4,0.00150999
36,Female,4,0.00189559
37,Female,4,0.00231002
38,Female,4,0.0026784
39,Female,4,0.00293383
40,Female,4,0.00308208
41,Female,4,0.00315938
42,Female,4,0.00321473
43,Female,4,0.00328211
44,Female,4,0.00336705
45,Female,4,0.00347322
46,Female,4,0.00360498
47,Female,4,0.00376832
48,Female,4,0.00397158
49,Female,4,0.00422528
50,Female,4,0.00454286
51,Female,4,0.00494293
52,Female,4,0.00545158
53,Female,4,0.00610443
54,Female,4,0.00694785
55,Female,4,0.00797323
56,Female,4,0.00907425
57,Female,4,0.01007127
58,Female,4,0.01073188
59,Female,4,0.01100142
60,Female,4,0.01102327
61,Female,4,0.0109729
62,Female,4,0.01102126
63,Female,4,0.01124371
64,Female,4,0.01165695
65,Female,4,0.01228659
66,Female,4,0.01316587
67,Female,4,0.01428722
68,Female,4,0.01560477
69,Female,4,0.01704935
70,Female,4,0.01853938
71,Female,4,0.02013617
72,Female,4,0.02201658
73,Female,4,0.02442274
74,Female,4,0.02766449
75,Female,4,0.03193859
76,Female,4,0.03737978
77,Female,4,0.04411081
78,Female,4,0.05218939
79,Female,4,0.06145576
80,Female,4,0.0714725
81,Female,4,0.08149242
82,Female,4,0.09076209
83,Female,4,0.09995281
84,Female,4,0.11063311
85,Female,4,0.12500255
