age_band,total_n,total_actual,total_expected,factor
15-19,5902,3.0,4.6843849237774,0.6404
20-24,25862,25.0,29.153599320909585,0.8575
25-29,20488,24.0,30.604625322855103,0.7842
30-34,20265,21.0,39.80813773372102,0.5275
35-39,19588,29.0,48.48557190922909,0.5981
40-44,20217,58.0,64.81025289534506,0.8949
45-49,19686,77.0,84.2507145886764,0.9139
50-54,18899,115.0,116.25972429104058,0.9892
55-59,16713,133.0,151.04130809334956,0.8806
60-64,18807,240.0,249.44253296963774,0.9621
65-69,17362,276.0,312.06847180705427,0.8844
70-74,14532,345.0,376.16663833148687,0.9171
75-79,11335,416.0,468.5618984885509,0.8878
80-84,13772,1052.0,892.2087345384056,1.1791
85-89,3807,419.0,404.04053919017304,1.037
85+,0,0.0,0.0,
