age_band,sex,n_at_risk,actual_deaths,cdc_expected,factor
15-19,Female,2948,0.0,1.3,0.0
15-19,Male,2954,3.0,3.4,0.8856
20-24,Female,13298,6.0,8.4,0.7117
20-24,Male,12564,19.0,20.7,0.9169
25-29,Female,11180,7.0,9.9,0.7063
25-29,Male,9308,17.0,20.7,0.8215
30-34,Female,10994,7.0,14.0,0.5003
30-34,Male,9271,14.0,25.8,0.5423
35-39,Female,10327,10.0,17.7,0.5648
35-39,Male,9261,19.0,30.8,0.6173
40-44,Female,10532,29.0,24.5,1.1828
40-44,Male,9685,29.0,40.3,0.7197
45-49,Female,10357,33.0,33.2,0.9932
45-49,Male,9329,44.0,51.0,0.8623
50-54,Female,9679,42.0,44.5,0.9435
50-54,Male,9220,73.0,71.7,1.0175
55-59,Female,8467,51.0,57.5,0.887
55-59,Male,8246,82.0,93.5,0.8766
60-64,Female,9559,91.0,96.8,0.9405
60-64,Male,9248,149.0,152.7,0.9758
65-69,Female,8839,115.0,122.4,0.9397
65-69,Male,8523,161.0,189.7,0.8488
70-74,Female,7274,123.0,151.2,0.8137
70-74,Male,7258,222.0,225.0,0.9867
75-79,Female,5635,160.0,192.0,0.8332
75-79,Male,5700,256.0,276.5,0.9257
80-84,Female,7232,461.0,401.2,1.1489
80-84,Male,6540,591.0,491.0,1.2038
85-89,Female,2209,196.0,208.5,0.94
85-89,Male,1598,223.0,195.5,1.1405
85+,Female,0,0.0,0.0,
85+,Male,0,0.0,0.0,
