age_band,sex,duration,n_at_risk,actual_deaths,cdc_expected,factor
15-19,Female,1,1967,0.0,0.8,0.0
15-19,Female,2,981,0.0,0.5,0.0
15-19,Female,3,0,0.0,0.0,
15-19,Female,4,0,0.0,0.0,
15-19,Female,5,0,0.0,0.0,
15-19,Male,1,1993,1.0,2.2,0.4473
15-19,Male,2,961,2.0,1.2,1.7359
15-19,Male,3,0,0.0,0.0,
15-19,Male,4,0,0.0,0.0,
15-19,Male,5,0,0.0,0.0,
20-24,Female,1,2500,1.0,1.6,0.63
20-24,Female,2,2847,0.0,1.8,0.0
20-24,Female,3,3202,2.0,2.0,1.0241
20-24,Female,4,2632,0.0,1.7,0.0
20-24,Female,5,2117,3.0,1.4,2.0891
20-24,Male,1,2176,3.0,3.6,0.8342
20-24,Male,2,2642,3.0,4.2,0.7122
20-24,Male,3,3082,5.0,4.9,1.0239
20-24,Male,4,2580,5.0,4.3,1.1525
20-24,Male,5,2084,3.0,3.7,0.8125
25-29,Female,1,2408,1.0,2.1,0.4671
25-29,Female,2,2295,0.0,2.0,0.0
25-29,Female,3,2247,3.0,2.0,1.5089
25-29,Female,4,2170,2.0,1.9,1.0407
25-29,Female,5,2060,1.0,1.8,0.5478
25-29,Male,1,2016,4.0,4.5,0.8906
25-29,Male,2,1920,4.0,4.3,0.9371
25-29,Male,3,1852,2.0,4.1,0.486
25-29,Male,4,1796,4.0,4.0,1.002
25-29,Male,5,1724,3.0,3.8,0.7841
30-34,Female,1,2404,1.0,3.0,0.3279
30-34,Female,2,2301,2.0,2.9,0.6856
30-34,Female,3,2245,1.0,2.9,0.35
30-34,Female,4,2097,0.0,2.7,0.0
30-34,Female,5,1947,3.0,2.5,1.2066
30-34,Male,1,2096,4.0,5.8,0.6856
30-34,Male,2,2001,4.0,5.6,0.7179
30-34,Male,3,1878,3.0,5.2,0.5735
30-34,Male,4,1702,2.0,4.7,0.4218
30-34,Male,5,1594,1.0,4.4,0.2253
35-39,Female,1,2260,1.0,3.9,0.258
35-39,Female,2,2199,4.0,3.8,1.0607
35-39,Female,3,2051,0.0,3.5,0.0
35-39,Female,4,1955,1.0,3.4,0.2979
35-39,Female,5,1862,4.0,3.2,1.2573
35-39,Male,1,2058,4.0,6.8,0.5841
35-39,Male,2,1942,3.0,6.5,0.4648
35-39,Male,3,1873,5.0,6.2,0.8028
35-39,Male,4,1747,1.0,5.8,0.1724
35-39,Male,5,1641,6.0,5.4,1.1012
40-44,Female,1,2377,6.0,5.5,1.0858
40-44,Female,2,2237,4.0,5.2,0.7684
40-44,Female,3,2108,3.0,4.9,0.6114
40-44,Female,4,1961,9.0,4.6,1.9669
40-44,Female,5,1849,7.0,4.3,1.6268
40-44,Male,1,2119,4.0,8.8,0.4547
40-44,Male,2,2077,6.0,8.6,0.696
