age_band,duration,n_at_risk,actual_deaths,cdc_expected,AoverE
15-19,1,3960,1.0,3.1,0.3245
15-19,2,1942,2.0,1.6,1.248
15-19,3,0,0.0,0.0,
15-19,4,0,0.0,0.0,
15-19,5,0,0.0,0.0,
20-24,1,4676,4.0,5.2,0.7717
20-24,2,5489,3.0,6.0,0.5023
20-24,3,6284,7.0,6.8,1.0239
20-24,4,5212,5.0,6.0,0.8287
20-24,5,4201,6.0,5.1,1.17
25-29,1,4424,5.0,6.6,0.7539
25-29,2,4215,4.0,6.3,0.6346
25-29,3,4099,5.0,6.1,0.8192
25-29,4,3966,6.0,5.9,1.0146
25-29,5,3784,4.0,5.7,0.7078
30-34,1,4500,5.0,8.9,0.5628
30-34,2,4302,6.0,8.5,0.7068
30-34,3,4123,4.0,8.1,0.4946
30-34,4,3799,2.0,7.4,0.2694
30-34,5,3541,4.0,6.9,0.5776
35-39,1,4318,5.0,10.7,0.4662
35-39,2,4141,7.0,10.2,0.6846
35-39,3,3924,5.0,9.7,0.513
35-39,4,3702,2.0,9.2,0.2184
35-39,5,3503,10.0,8.6,1.1587
40-44,1,4496,10.0,14.3,0.6982
40-44,2,4314,10.0,13.8,0.7232
40-44,3,4041,11.0,12.9,0.8496
40-44,4,3793,16.0,12.2,1.3101
40-44,5,3573,11.0,11.5,0.9564
45-49,1,4226,15.0,18.1,0.829
45-49,2,4133,21.0,17.7,1.1887
45-49,3,3996,17.0,17.1,0.9962
45-49,4,3782,8.0,16.2,0.4932
45-49,5,3549,16.0,15.2,1.0524
50-54,1,4270,23.0,26.3,0.8749
50-54,2,4004,19.0,24.6,0.7713
50-54,3,3799,34.0,23.3,1.4571
50-54,4,3537,15.0,21.8,0.6887
50-54,5,3289,24.0,20.2,1.1868
55-59,1,3498,36.0,31.6,1.1387
55-59,2,3436,28.0,30.9,0.9053
55-59,3,3339,24.0,30.2,0.7945
55-59,4,3259,22.0,29.5,0.7464
55-59,5,3181,23.0,28.8,0.7982
60-64,1,4809,50.0,62.8,0.7964
60-64,2,4287,49.0,56.8,0.863
60-64,3,3727,49.0,49.9,0.9818
60-64,4,3216,48.0,43.2,1.111
60-64,5,2768,44.0,36.8,1.1966
65-69,1,3651,53.0,65.9,0.8044
65-69,2,3563,64.0,64.2,0.997
65-69,3,3462,59.0,62.0,0.9511
65-69,4,3370,39.0,60.6,0.6437
65-69,5,3316,61.0,59.4,1.0275
70-74,1,3244,75.0,83.6,0.8967
70-74,2,3083,85.0,80.1,1.0616
70-74,3,2908,62.0,75.6,0.8205
70-74,4,2715,67.0,70.1,0.9557
70-74,5,2582,56.0,66.8,0.8385
75-79,1,2337,73.0,96.8,0.7539
75-79,2,2325,72.0,96.6,0.7456
75-79,3,2285,97.0,93.9,1.0326
75-79,4,2241,84.0,92.8,0.9054
75-79,5,2147,90.0,88.4,1.0176
80-84,1,3071,187.0,178.2,1.0496
80-84,2,2938,215.0,181.3,1.1857
80-84,3,2791,224.0,182.6,1.2265
80-84,4,2600,219.0,179.3,1.2213
80-84,5,2372,207.0,170.8,1.2122
85-89,1,614,52.0,55.3,0.9404
85-89,2,706,66.0,69.1,0.9546
85-89,3,765,89.0,81.1,1.0978
85-89,4,819,103.0,92.4,1.1144
85-89,5,903,109.0,106.1,1.0272
85+,1,0,0.0,0.0,
85+,2,0,0.0,0.0,
85+,3,0,0.0,0.0,
85+,4,0,0.0,0.0,
85+,5,0,0.0,0.0,
