age_band,total_n,total_actual,total_expected,total_AE,Dur1_n,Dur2_n,Dur3_n,Dur4_n,Dur5_n,Dur1_deaths,Dur2_deaths,Dur3_deaths,Dur4_deaths,Dur5_deaths,Dur1_expected,Dur2_expected,Dur3_expected,Dur4_expected,Dur5_expected,Dur1_AE,Dur2_AE,Dur3_AE,Dur4_AE,Dur5_AE
15-19,5902,3.0,4.6844,0.6404,3960,1942,0,0,0,1.0,2.0,0.0,0.0,0.0,3.1,1.6,0.0,0.0,0.0,0.3245,1.248,,,
20-24,25862,25.0,29.1536,0.8575,4676,5489,6284,5212,4201,4.0,3.0,7.0,5.0,6.0,5.2,6.0,6.8,6.0,5.1,0.7717,0.5023,1.0239,0.8287,1.17
25-29,20488,24.0,30.6046,0.7842,4424,4215,4099,3966,3784,5.0,4.0,5.0,6.0,4.0,6.6,6.3,6.1,5.9,5.7,0.7539,0.6346,0.8192,1.0146,0.7078
30-34,20265,21.0,39.8081,0.5275,4500,4302,4123,3799,3541,5.0,6.0,4.0,2.0,4.0,8.9,8.5,8.1,7.4,6.9,0.5628,0.7068,0.4946,0.2694,0.5776
35-39,19588,29.0,48.4856,0.5981,4318,4141,3924,3702,3503,5.0,7.0,5.0,2.0,10.0,10.7,10.2,9.7,9.2,8.6,0.4662,0.6846,0.513,0.2184,1.1587
40-44,20217,58.0,64.8103,0.8949,4496,4314,4041,3793,3573,10.0,10.0,11.0,16.0,11.0,14.3,13.8,12.9,12.2,11.5,0.6982,0.7232,0.8496,1.3101,0.9564
45-49,19686,77.0,84.2507,0.9139,4226,4133,3996,3782,3549,15.0,21.0,17.0,8.0,16.0,18.1,17.7,17.1,16.2,15.2,0.829,1.1887,0.9962,0.4932,1.0524
50-54,18899,115.0,116.2597,0.9892,4270,4004,3799,3537,3289,23.0,19.0,34.0,15.0,24.0,26.3,24.6,23.3,21.8,20.2,0.8749,0.7713,1.4571,0.6887,1.1868
55-59,16713,133.0,151.0413,0.8806,3498,3436,3339,3259,3181,36.0,28.0,24.0,22.0,23.0,31.6,30.9,30.2,29.5,28.8,1.1387,0.9053,0.7945,0.7464,0.7982
60-64,18807,240.0,249.4425,0.9621,4809,4287,3727,3216,2768,50.0,49.0,49.0,48.0,44.0,62.8,56.8,49.9,43.2,36.8,0.7964,0.863,0.9818,1.111,1.1966
65-69,17362,276.0,312.0685,0.8844,3651,3563,3462,3370,3316,53.0,64.0,59.0,39.0,61.0,65.9,64.2,62.0,60.6,59.4,0.8044,0.997,0.9511,0.6437,1.0275
70-74,14532,345.0,376.1666,0.9171,3244,3083,2908,2715,2582,75.0,85.0,62.0,67.0,56.0,83.6,80.1,75.6,70.1,66.8,0.8967,1.0616,0.8205,0.9557,0.8385
75-79,11335,416.0,468.5619,0.8878,2337,2325,2285,2241,2147,73.0,72.0,97.0,84.0,90.0,96.8,96.6,93.9,92.8,88.4,0.7539,0.7456,1.0326,0.9054,1.0176
80-84,13772,1052.0,892.2087,1.1791,3071,2938,2791,2600,2372,187.0,215.0,224.0,219.0,207.0,178.2,181.3,182.6,179.3,170.8,1.0496,1.1857,1.2265,1.2213,1.2122
85-89,3807,419.0,404.0405,1.037,614,706,765,819,903,52.0,66.0,89.0,103.0,109.0,55.3,69.1,81.1,92.4,106.1,0.9404,0.9546,1.0978,1.1144,1.0272
85+,0,0.0,0.0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
