duration,n_at_risk,actual_deaths,cdc_expected,AoverE,sex
1,56094,594.0,667.4,0.89,Total
2,52878,651.0,667.7,0.975,Total
3,49543,687.0,659.5,1.0417,Total
4,46011,636.0,646.6,0.9836,Total
5,42709,665.0,630.3,1.055,Total
1,29030,235.0,274.6,0.8557,Female
1,27064,359.0,392.8,0.9139,Male
2,27403,251.0,277.6,0.9043,Female
2,25475,400.0,390.1,1.0253,Male
3,25780,291.0,279.0,1.0429,Female
3,23763,396.0,380.5,1.0408,Male
4,24010,274.0,277.6,0.9869,Female
4,22001,362.0,369.0,0.981,Male
5,22307,280.0,274.3,1.0207,Female
5,20402,385.0,356.0,1.0814,Male
