decile,n,rel_yr1,rel_yr2,rel_yr3,rel_yr4,rel_yr5,rel_change_yr1_to_yr5,annual_decay
1,1688,0.08580523389950007,0.2757682241811772,0.25073874744579006,0.2666395352914801,0.33855280209800986,0.7235298455310512,0.9222828068277226
2,1688,0.1395488653507816,0.30761019236374454,0.31323467146150175,0.3304207693665734,0.3957624083915118,0.7022334764597862,0.915419969748604
3,1687,0.19110129783882143,0.3439608875632796,0.3396838904436756,0.39199142658950864,0.4679306025393708,0.6577701213255387,0.9005721980231778
4,1688,0.24617337072799275,0.3877246638714992,0.4176626549555561,0.4210657009101589,0.496394288209973,0.6680656960558344,0.9040756931604326
5,1688,0.3149501668826492,0.41863542644350293,0.46291308479828397,0.46970284463041634,0.5710731464174743,0.6261250391532457,0.8895395620000768
6,1687,0.4037899042162895,0.49621315015178075,0.5475044491084083,0.5521815415194415,0.6104476662542266,0.6533809750968941,0.8990660971399538
7,1688,0.5226839398175445,0.5128152536283901,0.5912076447508163,0.5972230806022276,0.6867148273165415,0.6563474368821871,0.9000848428999193
8,1687,0.7022886681625119,0.6472221835904072,0.7206473517876195,0.6899962621535968,0.8350963481148691,0.553904518404919,0.8626978723817074
9,1688,1.0618989194216681,0.7628486657827478,0.9626972307568022,0.8141414594866827,1.006808423296239,0.10999260342266591,0.5758917676857332
10,1688,2.385262962936636,1.2593540133528776,1.5366552264158146,1.3184336504829326,1.6207037888323237,0.44807650636705537,0.8181596240414618
