group,n,actual_rel,pred_rel,cut
Female,7018,1.111996845035504,0.9788526886561871,Gender
Male,6599,1.0335420328005904,0.9907623758124504,Gender
Former,9996,0.9700280118644861,0.9197752451803978,Smoking
Current,2676,1.7326080719558477,1.447164155236398,Smoking
nan,945,1.0158192476686985,0.8995547574599613,Smoking
No Diabetes,11919,0.9788706198257984,0.8868803046617929,Diabetes
Borderline,234,0.9492443521152181,1.0080403210304267,Diabetes
Diabetes,1457,1.4492965600421777,1.4052156455247162,Diabetes
"UW
<18.5",258,1.9485879001023287,1.7788398305232747,BMI
"Normal
18.5-25",4095,1.1940232706566571,1.0464454983263267,BMI
"OW
25-30",4475,0.8524300699018841,0.8012332061169692,BMI
"Obese I
30-35",2575,0.870051028731669,0.8716241270813416,BMI
"Obese II+
35+",1909,1.043384484714358,1.0536568588133253,BMI
nan,305,2.4097505830888575,2.041829162346711,BMI
<9th,1568,1.1010531970575186,1.0581468268850474,Education
Some HS,2001,1.4241801315248903,1.1778538698311276,Education
HS/GED,2918,1.149162675837843,0.9939745582218079,Education
Some College,3499,1.0016509488412846,0.9771578577980428,Education
College Grad,2580,0.6974544158848458,0.74866683023296,Education
nan,1051,1.1510461616125602,1.0344037815683502,Education
Poverty,2760,1.4535638273506821,1.240934638065057,Income
Low,3271,1.270805657061773,1.142229130598813,Income
Middle,1885,1.103046423095439,1.003362504236034,Income
Higher,4517,0.6804654200640091,0.6938122477200888,Income
nan,1184,0.9917914567551022,1.0050161801736004,Income
CHF: Yes,434,2.000870004344741,2.0453914400313384,Medical Conditions
CHF: No,12109,0.9781592050078899,0.8860727302594713,Medical Conditions
CHD: Yes,539,1.3620428021095863,1.4926509642146615,Medical Conditions
CHD: No,11989,1.0188635908019907,0.9166879034027858,Medical Conditions
Stroke: Yes,474,1.7518249545980042,1.55189584558484,Medical Conditions
Stroke: No,12095,0.9965624670893136,0.926818929529147,Medical Conditions
Cancer: Yes,1140,1.3863165716875576,1.3031090995340147,Medical Conditions
Cancer: No,11438,0.9883715090912398,0.9075388998861238,Medical Conditions
